Type Analyse;ID Discussion;Score Similitude;Segments Evalués (Total);ID du Profil (Top 3);Durée Profil (sec);Score Min (Intra);Score Max (Intra)
INTRA (Référence);audio-1773402260.28378;0.496;21;audio-1773402260.28378_operateur_10, audio-1773402260.28378_operateur_9, audio-1773402260.28378_operateur_6;14.02;0.1794;0.668
INTER (Cible);audio-1773403450.28778;0.5432;10;audio-1773403450.28778_operateur_9, audio-1773403450.28778_operateur_1, audio-1773403450.28778_operateur_10;10.82;N/A;N/A
INTER (Cible);audio-1773405810.29550;0.5111;4;audio-1773405810.29550_operateur_3, audio-1773405810.29550_operateur_2, audio-1773405810.29550_operateur_1;12.13;N/A;N/A
INTER (Cible);audio-1773406527.29803;0.497;15;audio-1773406527.29803_operateur_1, audio-1773406527.29803_operateur_13, audio-1773406527.29803_operateur_14;23.83;N/A;N/A
INTER (Cible);audio-1775032164.41898;0.489;5;audio-1775032164.41898_operateur_5, audio-1775032164.41898_operateur_4, audio-1775032164.41898_operateur_1;10.28;N/A;N/A
INTER (Cible);audio-1773401927.28348;0.486;11;audio-1773401927.28348_operateur_3, audio-1773401927.28348_operateur_7, audio-1773401927.28348_operateur_5;14.01;N/A;N/A
INTER (Cible);audio-1773401499.21513;0.4767;3;audio-1773401499.21513_operateur_2, audio-1773401499.21513_operateur_1, audio-1773401499.21513_operateur_3;12.0;N/A;N/A
INTER (Cible);audio-1775031968.41843;0.4736;8;audio-1775031968.41843_operateur_1, audio-1775031968.41843_operateur_8, audio-1775031968.41843_operateur_5;15.8;N/A;N/A
INTER (Cible);audio-1773398245.26823;0.4702;4;audio-1773398245.26823_operateur_2, audio-1773398245.26823_operateur_1, audio-1773398245.26823_operateur_3;13.37;N/A;N/A
INTER (Cible);audio-1773401440.28104;0.466;17;audio-1773401440.28104_operateur_16, audio-1773401440.28104_operateur_11, audio-1773401440.28104_operateur_13;14.78;N/A;N/A
INTER (Cible);audio-1775026399.40938;0.4632;6;audio-1775026399.40938_operateur_2, audio-1775026399.40938_operateur_6, audio-1775026399.40938_operateur_3;14.88;N/A;N/A
INTER (Cible);audio-1773400658.27514;0.4574;10;audio-1773400658.27514_operateur_4, audio-1773400658.27514_operateur_7, audio-1773400658.27514_operateur_2;10.34;N/A;N/A
INTER (Cible);audio-1775028716.41313;0.4443;3;audio-1775028716.41313_operateur_1, audio-1775028716.41313_operateur_3, audio-1775028716.41313_operateur_2;8.34;N/A;N/A
INTER (Cible);audio-1775030418.41623;0.439;3;audio-1775030418.41623_operateur_2, audio-1775030418.41623_operateur_1, audio-1775030418.41623_operateur_3;10.09;N/A;N/A
INTER (Cible);audio-1775030662.31651;0.4333;12;audio-1775030662.31651_operateur_1, audio-1775030662.31651_operateur_8, audio-1775030662.31651_operateur_4;18.23;N/A;N/A
