Date Exécution;Locuteur Cible;Type Analyse;ID Discussion;Nb Segments Total;ID du Profil (Top 3);Similitude Moyenne;Score Min;Score Max;Ecart-Type
20260722_1010;operateur;INTRA (Référence);audio-1773402260.28378;21;audio-1773402260.28378_operateur_27, audio-1773402260.28378_operateur_28, audio-1773402260.28378_operateur_19;0.8023;0.6127;0.9103;0.0852
20260722_1010;operateur;INTER (Cible);audio-1773407172.29929;3;audio-1773407172.29929_operateur_4, audio-1773407172.29929_operateur_3, audio-1773407172.29929_operateur_8;0.401;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1775032917.42139;21;audio-1775032917.42139_operateur_23, audio-1775032917.42139_operateur_22, audio-1775032917.42139_operateur_49;0.3929;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773403450.28778;10;audio-1773403450.28778_operateur_39, audio-1773403450.28778_operateur_18, audio-1773403450.28778_operateur_11;0.3751;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773401499.21513;3;audio-1773401499.21513_operateur_4, audio-1773401499.21513_operateur_3, audio-1773401499.21513_operateur_6;0.3535;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773400104.27333;9;audio-1773400104.27333_operateur_25, audio-1773400104.27333_operateur_16, audio-1773400104.27333_operateur_9;0.3219;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773398245.26823;4;audio-1773398245.26823_operateur_8, audio-1773398245.26823_operateur_6, audio-1773398245.26823_operateur_7;0.2985;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773398901.26999;30;audio-1773398901.26999_operateur_28, audio-1773398901.26999_operateur_4, audio-1773398901.26999_operateur_3;0.2826;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773403298.28728;15;audio-1773403298.28728_operateur_11, audio-1773403298.28728_operateur_6, audio-1773403298.28728_operateur_3;0.2787;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773405810.29550;4;audio-1773405810.29550_operateur_6, audio-1773405810.29550_operateur_9, audio-1773405810.29550_operateur_3;0.271;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773405730.29546;4;audio-1773405730.29546_operateur_18, audio-1773405730.29546_operateur_17, audio-1773405730.29546_operateur_6;0.2699;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1775030662.31651;12;audio-1775030662.31651_operateur_3, audio-1775030662.31651_operateur_17, audio-1775030662.31651_operateur_32;0.2692;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1775030418.41623;3;audio-1775030418.41623_operateur_4, audio-1775030418.41623_operateur_10, audio-1775030418.41623_operateur_3;0.2627;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1775032737.32140;8;audio-1775032737.32140_operateur_21, audio-1775032737.32140_operateur_10, audio-1775032737.32140_operateur_3;0.2555;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773401109.27876;8;audio-1773401109.27876_operateur_13, audio-1773401109.27876_operateur_3, audio-1773401109.27876_operateur_6;0.2434;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773404163.28913;7;audio-1773404163.28913_operateur_9, audio-1773404163.28913_operateur_13, audio-1773404163.28913_operateur_8;0.2283;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773406527.29803;15;audio-1773406527.29803_operateur_43, audio-1773406527.29803_operateur_10, audio-1773406527.29803_operateur_69;0.2273;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773400919.27578;5;audio-1773400919.27578_operateur_8, audio-1773400919.27578_operateur_9, audio-1773400919.27578_operateur_13;0.2202;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1775032606.32130;2;audio-1775032606.32130_operateur_5, audio-1775032606.32130_operateur_4;0.2068;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1773399390.27077;9;audio-1773399390.27077_operateur_8, audio-1773399390.27077_operateur_19, audio-1773399390.27077_operateur_7;0.2063;N/A;N/A;N/A
20260722_1010;operateur;INTER (Cible);audio-1775033540.32214;14;audio-1775033540.32214_operateur_48, audio-1775033540.32214_operateur_28, audio-1775033540.32214_operateur_25;0.2037;N/A;N/A;N/A
