Date Exécution;Locuteur Cible;Type Analyse;ID Discussion;Nb Segments Total;ID du Profil (Top 3);Similitude Moyenne;Score Min;Score Max;Ecart-Type
20260722_1020;operateur;INTRA (Référence);audio-1775033905.42249;4;audio-1775033905.42249_operateur_30, audio-1775033905.42249_operateur_19, audio-1775033905.42249_operateur_15;0.6099;0.6099;0.6099;0.0
20260722_1020;operateur;INTER (Cible);audio-1775032532.42069;15;audio-1775032532.42069_operateur_40, audio-1775032532.42069_operateur_53, audio-1775032532.42069_operateur_62;0.8794;N/A;N/A;N/A
20260722_1020;operateur;INTER (Cible);audio-1775026649.40948;6;audio-1775026649.40948_operateur_38, audio-1775026649.40948_operateur_4, audio-1775026649.40948_operateur_18;0.8592;N/A;N/A;N/A
20260722_1020;operateur;INTER (Cible);audio-1775025893.40608;4;audio-1775025893.40608_operateur_7, audio-1775025893.40608_operateur_5, audio-1775025893.40608_operateur_4;0.8478;N/A;N/A;N/A
20260722_1020;operateur;INTER (Cible);audio-1775032164.41898;5;audio-1775032164.41898_operateur_40, audio-1775032164.41898_operateur_41, audio-1775032164.41898_operateur_5;0.8333;N/A;N/A;N/A
20260722_1020;operateur;INTER (Cible);audio-1775026708.40952;9;audio-1775026708.40952_operateur_18, audio-1775026708.40952_operateur_17, audio-1775026708.40952_operateur_23;0.6155;N/A;N/A;N/A
20260722_1020;operateur;INTER (Cible);audio-1773398136.26807;5;audio-1773398136.26807_operateur_4, audio-1773398136.26807_operateur_22, audio-1773398136.26807_operateur_5;0.5298;N/A;N/A;N/A
20260722_1020;operateur;INTER (Cible);audio-1775030662.31651;12;audio-1775030662.31651_operateur_3, audio-1775030662.31651_operateur_17, audio-1775030662.31651_operateur_32;0.4043;N/A;N/A;N/A
20260722_1020;operateur;INTER (Cible);audio-1773397929.26766;2;audio-1773397929.26766_operateur_6, audio-1773397929.26766_operateur_16;0.3789;N/A;N/A;N/A
20260722_1020;operateur;INTER (Cible);audio-1775026276.40906;3;audio-1775026276.40906_operateur_2, audio-1775026276.40906_operateur_4, audio-1775026276.40906_operateur_5;0.3758;N/A;N/A;N/A
