Date Exécution;Locuteur Cible;Type Analyse;ID Discussion;Nb Segments Total;ID du Profil (Top 3);Similitude Moyenne;Score Min;Score Max;Ecart-Type
20260722_1016;operateur;INTER (Cible);audio-1775028716.41313;3;audio-1775028716.41313_operateur_19, audio-1775028716.41313_operateur_16, audio-1775028716.41313_operateur_29;0.3183;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775032532.42069;15;audio-1775032532.42069_operateur_40, audio-1775032532.42069_operateur_53, audio-1775032532.42069_operateur_62;0.317;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775031968.41843;8;audio-1775031968.41843_operateur_16, audio-1775031968.41843_operateur_17, audio-1775031968.41843_operateur_19;0.3087;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773403414.28767;24;audio-1773403414.28767_operateur_17, audio-1773403414.28767_operateur_18, audio-1773403414.28767_operateur_28;0.3082;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773397929.26766;2;audio-1773397929.26766_operateur_6, audio-1773397929.26766_operateur_16;0.3056;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773404182.28921;10;audio-1773404182.28921_operateur_11, audio-1773404182.28921_operateur_9, audio-1773404182.28921_operateur_25;0.3017;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775031996.31819;5;audio-1775031996.31819_operateur_9, audio-1775031996.31819_operateur_11, audio-1775031996.31819_operateur_6;0.3004;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773400084.20925;9;audio-1773400084.20925_operateur_11, audio-1773400084.20925_operateur_18, audio-1773400084.20925_operateur_21;0.2873;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775032737.32140;8;audio-1775032737.32140_operateur_21, audio-1775032737.32140_operateur_10, audio-1775032737.32140_operateur_3;0.2863;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773406501.29799;8;audio-1773406501.29799_operateur_9, audio-1773406501.29799_operateur_41, audio-1773406501.29799_operateur_2;0.2863;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775031713.41765;14;audio-1775031713.41765_operateur_8, audio-1775031713.41765_operateur_17, audio-1775031713.41765_operateur_10;0.2819;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773403591.28782;11;audio-1773403591.28782_operateur_33, audio-1773403591.28782_operateur_13, audio-1773403591.28782_operateur_3;0.2818;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775026649.40948;6;audio-1775026649.40948_operateur_38, audio-1775026649.40948_operateur_4, audio-1775026649.40948_operateur_18;0.2785;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773406044.29570;19;audio-1773406044.29570_operateur_12, audio-1773406044.29570_operateur_26, audio-1773406044.29570_operateur_40;0.277;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773403721.28842;20;audio-1773403721.28842_operateur_30, audio-1773403721.28842_operateur_18, audio-1773403721.28842_operateur_21;0.2766;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773402323.28388;4;audio-1773402323.28388_operateur_39, audio-1773402323.28388_operateur_6, audio-1773402323.28388_operateur_4;0.2765;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773404602.29250;27;audio-1773404602.29250_operateur_43, audio-1773404602.29250_operateur_61, audio-1773404602.29250_operateur_9;0.266;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775031458.41751;6;audio-1775031458.41751_operateur_13, audio-1775031458.41751_operateur_19, audio-1775031458.41751_operateur_21;0.2625;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773404163.28913;7;audio-1773404163.28913_operateur_9, audio-1773404163.28913_operateur_13, audio-1773404163.28913_operateur_8;0.2606;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773400315.27371;5;audio-1773400315.27371_operateur_16, audio-1773400315.27371_operateur_6, audio-1773400315.27371_operateur_15;0.2582;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773407028.22763;14;audio-1773407028.22763_operateur_13, audio-1773407028.22763_operateur_7, audio-1773407028.22763_operateur_26;0.2511;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773406234.29636;10;audio-1773406234.29636_operateur_18, audio-1773406234.29636_operateur_6, audio-1773406234.29636_operateur_12;0.2493;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773405378.29369;13;audio-1773405378.29369_operateur_19, audio-1773405378.29369_operateur_40, audio-1773405378.29369_operateur_42;0.245;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775030662.31651;12;audio-1775030662.31651_operateur_3, audio-1775030662.31651_operateur_17, audio-1775030662.31651_operateur_32;0.2445;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773402731.28558;6;audio-1773402731.28558_operateur_32, audio-1773402731.28558_operateur_7, audio-1773402731.28558_operateur_14;0.2362;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773406527.29803;15;audio-1773406527.29803_operateur_43, audio-1773406527.29803_operateur_10, audio-1773406527.29803_operateur_69;0.2357;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773398136.26807;5;audio-1773398136.26807_operateur_4, audio-1773398136.26807_operateur_22, audio-1773398136.26807_operateur_5;0.2344;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1775033408.42185;7;audio-1775033408.42185_operateur_13, audio-1775033408.42185_operateur_14, audio-1775033408.42185_operateur_8;0.2323;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773403074.28717;6;audio-1773403074.28717_operateur_18, audio-1773403074.28717_operateur_16, audio-1773403074.28717_operateur_15;0.2274;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773398901.26999;30;audio-1773398901.26999_operateur_28, audio-1773398901.26999_operateur_4, audio-1773398901.26999_operateur_3;0.2268;N/A;N/A;N/A
20260722_1016;operateur;INTER (Cible);audio-1773403821.28852;16;audio-1773403821.28852_operateur_12, audio-1773403821.28852_operateur_23, audio-1773403821.28852_operateur_7;0.2258;N/A;N/A;N/A
