Type;ID Discussion;Nb Segments;Similitude Moyenne
INTRA (Réf);audio-1773404602.29250;27;0.3359
INTER;audio-1773403721.28842;20;0.341
INTER;audio-1773405378.29369;13;0.3174
INTER;audio-1773406501.29799;8;0.3172
INTER;audio-1773406044.29570;19;0.2985
INTER;audio-1773403414.28767;24;0.2977
INTER;audio-1773404182.28921;10;0.283
INTER;audio-1773407004.29901;10;0.2768
INTER;audio-1775033905.42249;4;0.2342
INTER;audio-1775026649.40948;6;0.2285
INTER;audio-1773404504.29223;7;0.2181
INTER;audio-1775033408.42185;7;0.2152
INTER;audio-1775030856.31673;3;0.2117
INTER;audio-1775026276.40906;3;0.2049
INTER;audio-1775032532.42069;15;0.2003
INTER;audio-1775025893.40608;4;0.1965
INTER;audio-1775032917.42139;21;0.1883
INTER;audio-1773401109.27876;8;0.1882
INTER;audio-1773405031.29314;9;0.184
INTER;audio-1773400315.27371;5;0.1832
INTER;audio-1775032192.32020;4;0.1826
INTER;audio-1773405730.29546;4;0.1775
INTER;audio-1773404349.29066;11;0.1749
INTER;audio-1773399390.27077;9;0.1743
INTER;audio-1773405810.29550;4;0.1739
INTER;audio-1773406234.29636;10;0.1735
INTER;audio-1773401440.28104;17;0.1735
INTER;audio-1773398136.26807;5;0.1717
INTER;audio-1775031458.41751;6;0.1705
INTER;audio-1773398359.26843;3;0.1698
INTER;audio-1775032164.41898;5;0.1693
INTER;audio-1773403821.28852;16;0.1671
INTER;audio-1775026399.40938;6;0.1637
INTER;audio-1773406527.29803;15;0.1595
INTER;audio-1775026708.40952;9;0.1558
INTER;audio-1773403591.28782;11;0.1549
INTER;audio-1773404163.28913;7;0.1525
INTER;audio-1773403074.28717;6;0.1525
INTER;audio-1773400084.20925;9;0.1512
INTER;audio-1773403298.28728;15;0.1511
INTER;audio-1773400919.27578;5;0.15
INTER;audio-1773403450.28778;10;0.1498
INTER;audio-1775030418.41623;3;0.1484
INTER;audio-1775032737.32140;8;0.1468
INTER;audio-1773398880.26995;13;0.1447
INTER;audio-1775032606.32130;2;0.1421
INTER;audio-1773398245.26823;4;0.142
INTER;audio-1775033540.32214;14;0.1405
INTER;audio-1773402323.28388;4;0.1378
INTER;audio-1773407328.29939;12;0.1377
INTER;audio-1775028716.41313;3;0.1352
INTER;audio-1773405457.29373;7;0.1352
INTER;audio-1775030662.31651;12;0.1349
INTER;audio-1773402731.28558;6;0.1315
INTER;audio-1773401927.28348;11;0.1309
INTER;audio-1773400658.27514;10;0.1298
INTER;audio-1773398901.26999;30;0.1291
INTER;audio-1773401499.21513;3;0.1288
INTER;audio-1775031713.41765;14;0.1272
INTER;audio-1775028942.41407;6;0.1245
INTER;audio-1773407028.22763;14;0.1244
INTER;audio-1773398331.26839;14;0.1226
INTER;audio-1773400104.27333;9;0.1179
INTER;audio-1775031826.41778;31;0.1144
INTER;audio-1775031996.31819;5;0.1128
INTER;audio-1775031968.41843;8;0.1125
INTER;audio-1773402260.28378;21;0.1016
INTER;audio-1773407172.29929;3;0.0954
INTER;audio-1773402913.28607;19;0.0812
INTER;audio-1773397929.26766;2;0.054
